"Load images", "Load images",module,RobertRupa_DownloadTab
Download, Download,module,RobertRupa_DownloadTab
"Download Tab", "Download Tab",module,RobertRupa_DownloadTab
"General settings", "General settings",module,RobertRupa_DownloadTab
"Module Status", "Module Status",module,RobertRupa_DownloadTab
"Api endpoint", "Api endpoint",module,RobertRupa_DownloadTab
"Additional GET parameters", "Additional GET parameters",module,RobertRupa_DownloadTab
"Additional styles", "Additional styles",module,RobertRupa_DownloadTab
